ind,pop,continent,country,latitude,longitude,sample_size,contributor,data_set,type,samples_size
ADR00092,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00089,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00093,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00098,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00102,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
ADR00096,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk19,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nesk8,Eskimo_Naukan,CentralAsiaSiberia,Russia,66,169.7,20,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nov_005,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00514,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00513,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00509,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00512,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00504,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00507,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00511,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00510,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00508,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
ADR00515,Nganasan,CentralAsiaSiberia,Russia,71.1,96.1,14,Rem Sukernik / Elena B. Starikovskaya,HOG,array,0
Sesk_47,Chukchi_Reindeer,CentralAsiaSiberia,Russia,64.4,173.9,1,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul5,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul31,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul65,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul6,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul33,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul71,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul10,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul43,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul72,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul44,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul74,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul19,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul24,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul59,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul56,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul55,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul16,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul69,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul1,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul36,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul25,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul52,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul70,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul51,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ul39,Ulchi,CentralAsiaSiberia,Russia,52.2,140.4,33,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba12,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba20,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba13,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba21,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba29,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba6,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba22,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba30,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba15,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba23,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba31,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba16,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba24,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba1,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba9,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba17,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba25,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba2,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba10,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba18,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba11,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Tuba19,Tubalar,CentralAsiaSiberia,Russia,51.1,87,31,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nel19,Yukagir_Forest,CentralAsiaSiberia,Russia,65.5,151,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nel13,Yukagir_Forest,CentralAsiaSiberia,Russia,65.5,151,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nel15,Yukagir_Forest,CentralAsiaSiberia,Russia,65.5,151,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nel16,Yukagir_Forest,CentralAsiaSiberia,Russia,65.5,151,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nel17,Yukagir_Forest,CentralAsiaSiberia,Russia,65.5,151,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk16,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk1,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk18,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk3,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk19,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk5,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk6,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk9,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk10,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Nlk14,Even,CentralAsiaSiberia,Russia,57.5,135.9,10,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Esk20,Eskimo_Chaplin,CentralAsiaSiberia,Russia,64.5,172.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Esk29,Eskimo_Chaplin,CentralAsiaSiberia,Russia,64.5,172.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Esk38,Eskimo_Chaplin,CentralAsiaSiberia,Russia,64.5,172.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Esk22,Eskimo_Chaplin,CentralAsiaSiberia,Russia,64.5,172.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor66,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor30,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor40,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor49,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor54,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor61,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor2,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor22,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor35,Koryak,CentralAsiaSiberia,Russia,58.1,159,13,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor72,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor57,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor60,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor62,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor76,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Kor78,Itelmen,CentralAsiaSiberia,Russia,57.2,156.9,7,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ale9,Tlingit,CentralAsiaSiberia,Russia,54.7,164.5,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ale14,Tlingit,CentralAsiaSiberia,Russia,54.7,164.5,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ale16,Tlingit,CentralAsiaSiberia,Russia,54.7,164.5,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Ale32,Tlingit,CentralAsiaSiberia,Russia,54.7,164.5,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Sir77,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Sir14,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Sir26,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Sir61,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
Sir43,Eskimo_Sireniki,CentralAsiaSiberia,Russia,64.4,173.9,5,Rem Sukernik / Stanislav Dryomov,HOG,array,0
HGDP00001,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00003,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00005,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00007,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00011,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00015,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00017,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00019,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00021,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00023,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00025,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00027,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00031,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00033,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00035,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00037,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00039,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00043,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00045,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00047,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00049,Brahui,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00052,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00054,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00056,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00058,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00062,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00064,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00066,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00068,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00072,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00074,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00078,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00080,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00082,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00086,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00088,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00090,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00092,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00094,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00096,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00098,Balochi,SouthAsia,Pakistan,30.5,66.5,24,Patterson et al. 2012,HOG,array,0
HGDP00099,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00103,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00106,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00109,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00110,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00115,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00116,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00118,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00120,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00121,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00122,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00124,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00125,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00127,Hazara,SouthAsia,Pakistan,33.5,70,22,Patterson et al. 2012,HOG,array,0
HGDP00131,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00133,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00134,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00135,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00136,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00137,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00140,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00141,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00144,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00145,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00146,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
HGDP00148,Makrani,SouthAsia,Pakistan,26,64,25,Patterson et al. 2012,HOG,array,0
